"Team","Year","G","X3P","X3PA","X2P","X2PA","FG","FGA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","Playoffs"
"Orlando Magic",2015,82,554,1598,2522,5194,3076,6792,1141,1565,822,2607,1692,647,314,1221,1714,7847,0
"Utah Jazz",2015,82,610,1781,2290,4711,2900,6492,1391,1929,988,2617,1632,623,489,1256,1583,7801,0
"Miami Heat",2015,82,556,1659,2329,4671,2885,6330,1438,1940,747,2461,1626,642,372,1214,1636,7764,0
"Charlotte Hornets",2015,82,498,1566,2415,5366,2913,6932,1397,1867,820,2793,1654,499,448,976,1494,7721,0
"Philadelphia 76ers",2015,82,692,2160,2073,4617,2765,6777,1320,1953,978,2536,1683,789,487,1453,1778,7542,0
"New York Knicks",2015,82,560,1614,2322,5112,2882,6726,1211,1575,867,2443,1746,575,382,1206,1768,7535,0
"Golden State Warriors",2016,82,1077,2592,2412,4567,3489,7159,1366,1790,816,2972,2373,689,498,1245,1701,9421,1
"Oklahoma City Thunder",2016,82,678,1945,2694,5137,3372,7082,1616,2067,1071,2916,1883,603,487,1305,1691,9038,1
"Sacramento Kings",2016,82,660,1839,2623,5244,3283,7083,1514,2089,868,2760,2009,733,368,1326,1676,8740,0
"Houston Rockets",2016,82,878,2533,2216,4314,3094,6847,1671,2407,930,2601,1821,821,430,1307,1790,8737,1
"Boston Celtics",2016,82,717,2142,2499,5176,3216,7318,1520,1929,950,2733,1981,752,348,1127,1796,8669,1
"Portland Trail Blazers",2016,82,864,2336,2303,4704,3167,7040,1424,1889,948,2782,1748,562,380,1200,1782,8622,1
"Los Angeles Clippers",2016,82,797,2190,2344,4569,3141,6759,1490,2152,721,2727,1873,709,460,1063,1746,8569,1
"Cleveland Cavaliers",2016,82,880,2428,2291,4460,3171,6888,1333,1783,873,2777,1861,551,317,1114,1666,8555,1
"Washington Wizards",2016,82,709,1983,2529,5050,3238,7033,1349,1849,743,2688,2005,708,323,1186,1708,8534,0
"San Antonio Spurs",2016,82,570,1518,2719,5279,3289,6797,1342,1672,770,2831,2010,677,485,1071,1433,8490,1
"Charlotte Hornets",2016,82,873,2410,2163,4512,3036,6922,1534,1941,734,2869,1778,595,438,1030,1487,8479,1
"Atlanta Hawks",2016,82,815,2326,2353,4597,3168,6923,1282,1638,679,2772,2100,747,486,1226,1570,8433,1
"New Orleans Pelicans",2016,82,702,1951,2451,5089,3153,7040,1415,1823,782,2712,1818,633,342,1102,1713,8423,0
"Toronto Raptors",2016,82,708,1915,2298,4754,3006,6669,1702,2190,836,2724,1536,636,449,1073,1610,8422,1
"Minnesota Timberwolves",2016,82,455,1347,2640,5321,3095,6668,1753,2213,821,2587,1916,656,375,1231,1696,8398,0
"Dallas Mavericks",2016,82,806,2342,2258,4558,3064,6900,1454,1831,751,2781,1813,560,306,1047,1595,8388,1
"Indiana Pacers",2016,82,663,1889,2479,5096,3142,6985,1430,1872,847,2779,1741,742,391,1219,1641,8377,1
"Orlando Magic",2016,82,636,1818,2606,5302,3242,7120,1249,1649,843,2709,1933,673,417,1155,1701,8369,0
"Detroit Pistons",2016,82,740,2148,2371,4939,3111,7087,1399,2095,1021,2777,1594,573,304,1110,1557,8361,1
"Denver Nuggets",2016,82,656,1943,2437,5060,3093,7003,1513,1974,941,2718,1858,609,395,1202,1723,8355,0
"Chicago Bulls",2016,82,651,1753,2514,5417,3165,7170,1354,1720,907,2889,1870,495,470,1141,1545,8335,0
"Phoenix Suns",2016,82,738,2118,2313,4900,3051,7018,1431,1905,943,2733,1701,632,313,1410,1858,8271,0
"Miami Heat",2016,82,498,1480,2652,5217,3150,6697,1406,1889,807,2811,1709,553,531,1155,1502,8204,1
"Memphis Grizzlies",2016,82,504,1521,2515,5338,3019,6859,1584,2024,916,2497,1697,724,350,1090,1783,8126,1
"Milwaukee Bucks",2016,82,440,1277,2705,5463,3145,6740,1392,1863,858,2559,1895,672,475,1247,1695,8122,0
"Brooklyn Nets",2016,82,531,1508,2605,5412,3136,6920,1286,1699,863,2614,1829,627,332,1212,1476,8089,0
"New York Knicks",2016,82,610,1762,2412,5124,3022,6886,1411,1753,850,2788,1682,467,466,1099,1616,8065,0
"Utah Jazz",2016,82,694,1956,2263,4637,2957,6593,1402,1885,880,2665,1555,631,425,1224,1655,8010,0
"Philadelphia 76ers",2016,82,764,2255,2206,4632,2970,6887,1284,1850,777,2605,1765,680,495,1343,1780,7988,0
